Йогурт  6 % жирности,5,0,6,0,3.5,124,92,91,0.6,15,95
Ряженка 6 % жирности,3,0,6,0,4.1,124,92,84,0.3,14,92
Простокваша обыкновенная,2.8,0,3.2,0,4.1,118,96,58,0.8,16,96
Кумыс из кобыльего молока,2.1,0,1.9,0,5,94,60,48,9,25,60
Молоко сгущенное с сахаром,7.2,0,8.5,0,56,307,219,320,1,34,219
Масло сливочное несоленое,0.5,0,82.5,0,0.8,12,19,748,0,"0,4",19
Масло крестьянское несоленое,0.8,0,72.5,0,1.3,24,30,661,0,"0,5",30
Сыр голландский брусковый,26,0,26.8,0,0,1040,540,352,2.8,55,600
Сыр голландский круглый,23.7,0,30.5,0,0,910,480,377,2.4,55,600
Сыр пошехонский,26.01,0,26.5,0,0,1050,540,350,2.8,50,500
Сулугуни,19.5,0,22,0,0,0,420,285,0,35,420
Сыр плавленый,23,0,19,0,0,0,0,270,0,33,700
Мороженое Молочное,3.2,0,3.5,0,21.3,136,101,126,0.4,17,101
Мороженое Сливочное,3.3,0,10,0,19.8,148,107,179,0.06,22,108
Пломбир,3.2,0,15,0,20.5,159,114,227,0.4,21,114
Эскимо,3.5,0,20,0,19.6,122,96,270,0.4,17,96
Мороженое Молочное шоколадное,3,1.2,3.5,0,23,140,100,138,0.4,26,100
Мороженое Сливочное шоколадное,2,1.5,10,0,21.5,125,101,188,0.4,17,101
Маргарин столовый,0.1,0.2,50,32,1,11,7,743,0,1,5
Майонез столовый,1.6,1.2,49,28,2.6,33,54,624,0,11,56
Масло подсолнечное рафинир.,0,0,0,99.9,0,0,0,899,0,0,0
Масло кунжутное рафинир.,0,0,0,99.9,0,0,0,899,0,0,0
Масло соевое рафинир.,0,0,0,99.9,0,0,0,899,0,0,0
Масло оливковое рафинир.,0,0,0,99.8,0,0,0,898,0,0,0
Масло кукурузное рафинир.,0,0,0,99.9,0,0,0,898,0,0,0
Баклажаны,0,1.2,0,0.1,5.1,15,34,24,5,9,34
Бобы,0,6,0,0.1,8.5,0,44,60,20,43,125
Кабачок,0,0.6,0,0.3,4.9,15,12,23,15,9,12
Капуста,0,1.8,0,0.1,4.7,48,31,27,45,16,31
Цветная капуста,0,2.5,0,0.3,4.5,26,51,30,70,17,51
Картофель,0,2,0,0.4,16.3,10,58,80,20,23,58
Зеленый лук,0,1.3,0,0,3.5,100,26,19,30,18,26
Лук репчатый,0,1.4,0,0,9.1,31,58,41,10,14,58
Морковь,0,1.3,0,0.1,7.2,51,55,34,5,38,55
Огурцы грунтовые,0,0.8,0,0.1,2.6,23,42,14,10,14,42
Огурцы парниковые,0,0.7,0,0.1,1.9,17,30,11,7,14,30
Патиссоны,0,0.6,0,0.1,4.1,13,12,19,23,26,12
Перец зеленый сладкий,0,1.3,0,0,5.3,8,16,25,150,4,16
Перец красный сладкий,0,1.3,0,0,5.3,8,16,27,250,11,16
Петрушка (зелень),0,3.7,0,0.4,8,245,95,49,150,85,95
Редис,0,1.2,,0.1,3.8,39,44,21,25,13,44
Салат,0,1.5,0,0.2,2.3,77,34,17,15,40,34
Свекла,0,1.5,0,0.1,9.1,37,43,42,10,22,43
Помидоры грунтовые,0,1.1,0,0.2,3.8,14,26,23,25,20,26
Укроп,0,2.5,0,0.5,4.1,223,93,31,100,70,93
Фасоль стручковая,0,3,0,0.3,3,65,44,31,20,26,44
Чеснок,0,6.5,0,0,5.2,60,100,46,10,30,100
Арбуз,0,0.7,0,0.2,8.8,14,7,38,7,224,7
Дыня,0,0.6,0,0,9.1,16,12,38,20,13,12
Тыква,0,1,0,0.1,4.2,25,25,25,8,14,25
Абрикосы,0,0.9,0,0.1,9,28,26,41,10,8,26
Ананас,0,0.4,0,0.2,11.5,16,11,49,20,11,11
Бананы,0,1.5,0,0.1,21,8,28,89,10,42,28
Вишня,0,0.8,0,0.5,10.3,37,30,52,15,26,30
Гранат,0,0.9,0,0,11.2,10,0,52,4,2,8
Груша,0,0.4,0,0.3,9.5,19,16,42,5,12,16
Инжир,0,0.7,0,0.2,11.2,0,0,49,2,17,14
Персики,0,0.9,0,0.1,9.5,20,34,43,10,16,34
Слива,0,0.8,0,0,9.6,20,20,43,10,9,20
Финики,0,2.5,0,0,68.5,65,56,271,0.3,69,56
Хурма,0,0.5,0,0,13.2,127,42,53,15,56,42
Черешня,0,1.1,0,0.4,10.6,33,28,50,15,6,13
Яблоки,0,0.4,0,0.4,9.8,16,11,45,165,9,11
Апельсин,0,0.9,0,0.2,8.1,34,23,40,60,13,23
Грейпфрут,0,0.9,0,0.2,6.5,23,18,35,45,13,23
Лимон,0,0.9,0,0.1,3,40,22,33,40,12,22
Мандарин,0,0.8,0,0.3,8.1,35,17,40,38,11,17
Виноград,0,0.6,0,0.2,15,30,22,65,6,17,22
Ежевика,0,2,0,0,4.4,30,32,31,15,29,32
Земляника,0,0.8,0,0.4,6.3,40,23,34,60,18,23
Крыжовник,0,0.7,0,0.2,9.1,22,28,43,30,9,28
Малина,0,0.8,0,0.3,8.3,40,37,42,25,22,37
Облепиха,0,0.9,0,2.5,5,42,8.6,52,200,30,9
Смородина красная,0,0.6,0,0.2,7.3,36,33,39,25,17,33
Смородина черная,0,1,0,0.2,7.3,36,33,38,200,31,33
Шиповник (свежий),0,1.6,0,0,10,28,8,51,650,8,8
Шиповник (сухой),0,3.4,0,0,21.5,60,17,110,1100,20,20
Чай черный байховый,0,20,0,5.1,4,495,824,0,10,2,1
Кофе в зернах,0,13.9,0,14.4,2.8,147,198,0,0,0,0
Кофе растворимый,0,15,0,3.6,0,100,250,0,0,0,0
Баранина 1 категории,15.6,0,16.3,0,0,9,168,209,0,20,168
Баранина 2 категории,19.8,0,9.6,0,0,11,190,166,0,25,190
Говядина 1 категории,18.6,0,16,0,0,9,188,218,0,22,188
Говядина 2 категории,20.2,0,9.8,0,0,10,200,168,0,25,200
Конина 1 категории,19.5,0,9.9,0,0,13,185,167,0,23,185
Конина 2 категории,20.9,0,4.1,0,0,14,198,121,0,25,198
Мясо кролика ,21.1,0,11,0,0,20,190,183,0.8,25,190
Мясо поросят,20.6,0,3,0,0,12,230,109,0,22,230
Свинина мясная,14.3,0,33.3,0,0,7,164,357,0,21,164
Печень  говяжья,17.9,0,3.7,0,0,9,314,105,33,18,314
Почки говяжьи,15.2,0,2.8,0,0,13,239,86,10,18,239
Язык говяжий,16,0,12.1,0,0,8,224,173,0,19,224
Вареные колбасы,15,0,11.7,0,0,23,209,165,0,15,133
Сардельки,11.4,0,18.2,0,1.5,26,131,215,0,18,139
Сосиски,10.4,0,20.1,0,0.8,25,139,226,0,20,159
Варено-копченые колбасы,17.3,0,39,0,0,30,214,420,0,25,204
Полукопченые колбасы,16.2,0,44.6,0,0,26,204,466,0,25,204
Сырокопченые колбасы,20.9,0,47.8,0,0,39,323,514,0,27,170
Бройлеры (цыплята),18.7,0,16.1,0,0,14,160,183,0,19,160
Гуси,15.2,0,39,0,0,12,165,412,0,32,172
Индейки,19.5,0,22,0,0,12,200,276,0,23,227
Куры,18.2,0,18.4,0,0,16,165,241,0,20,180
Утки,15.8,0,38,0,0,1,136,405,0,14,146
Яйца куриные,12.7,0,11.5,0,0,55,192,157,0,12,192
Окорочок куриный,21.3,0,11,0,0.1,16,140,185,0,20,140
Вобла,18,0,2.6,0,0,40,220,95,0,25,220
Горбуша,21,0,7,0,0,20,200,147,0,30,200
Камбала,15.7,0,3,0,0,20,400,90,0.06,35,180
Карась,17.7,0,1.8,0,0,70,220,87,0,25,220
Карп,16,0,5.3,0,0,35,210,112,1.8,25,210
Лещ,17.1,0,4.1,0,0,25,220,105,0,30,220
Минтай,15.9,0,0.9,0,0,40,240,72,1.8,55,240
